league,season,date,team1,team2,team1_sets,team2_sets,final_score,sets_played,match_winner,set1_winner,set1_loser,comeback_win
Italian Women A2,2023-2024,18/11/2023 ,Cremonaufficio Esperia Cremona,Pallavolo C.B.L. Costa Volpino,3,1,3-1,4,Cremonaufficio Esperia Cremona,Cremonaufficio Esperia Cremona,Pallavolo C.B.L. Costa Volpino,FALSE
Italian Women A2,2023-2024,19/11/2023 ,Omag-Mt San Giovanni In M.No,Orocash Picco Lecco,3,0,3-0,3,Omag-Mt San Giovanni In M.No,Omag-Mt San Giovanni In M.No,Orocash Picco Lecco,FALSE
Italian Women A2,2023-2024,19/11/2023 ,Lpm Bam Mondovì,Trasporti Bressan Offanengo,3,2,3-2,5,Lpm Bam Mondovì,Trasporti Bressan Offanengo,Lpm Bam Mondovì,TRUE
Italian Women A2,2023-2024,19/11/2023 ,Narconon Volley Melendugno,Cbf Balducci Hr Macerata,0,3,0-3,3,Cbf Balducci Hr Macerata,Cbf Balducci Hr Macerata,Narconon Volley Melendugno,FALSE
Italian Women A2,2023-2024,22/11/2023 ,Cbf Balducci Hr Macerata,Volley Hermaea Olbia,3,0,3-0,3,Cbf Balducci Hr Macerata,Cbf Balducci Hr Macerata,Volley Hermaea Olbia,FALSE
Italian Women A2,2023-2024,22/11/2023 ,Ipag S.Lle Ramonda Montecchio,Cremonaufficio Esperia Cremona,3,2,3-2,5,Ipag S.Lle Ramonda Montecchio,Cremonaufficio Esperia Cremona,Ipag S.Lle Ramonda Montecchio,TRUE
Italian Women A2,2023-2024,22/11/2023 ,Orocash Picco Lecco,Lpm Bam Mondovì,3,2,3-2,5,Orocash Picco Lecco,Lpm Bam Mondovì,Orocash Picco Lecco,TRUE
Italian Women A2,2023-2024,22/11/2023 ,Trasporti Bressan Offanengo,Narconon Volley Melendugno,3,2,3-2,5,Trasporti Bressan Offanengo,Narconon Volley Melendugno,Trasporti Bressan Offanengo,TRUE
Italian Women A2,2023-2024,22/11/2023 ,Pallavolo C.B.L. Costa Volpino,Omag-Mt San Giovanni In M.No,0,3,0-3,3,Omag-Mt San Giovanni In M.No,Omag-Mt San Giovanni In M.No,Pallavolo C.B.L. Costa Volpino,FALSE
Italian Women A2,2023-2024,26/11/2023 ,Cremonaufficio Esperia Cremona,Narconon Volley Melendugno,3,1,3-1,4,Cremonaufficio Esperia Cremona,Cremonaufficio Esperia Cremona,Narconon Volley Melendugno,FALSE
Italian Women A2,2023-2024,26/11/2023 ,Ipag S.Lle Ramonda Montecchio,Cbf Balducci Hr Macerata,1,3,1-3,4,Cbf Balducci Hr Macerata,Cbf Balducci Hr Macerata,Ipag S.Lle Ramonda Montecchio,FALSE
