league,season,date,team1,team2,team1_sets,team2_sets,final_score,sets_played,match_winner,set1_winner,set1_loser,comeback_win
Italian Men A3,2023-2024,5/11/2023 ,Gamma Chimica Brugherio,Gabbiano Mantova,1,3,1-3,4,Gabbiano Mantova,Gabbiano Mantova,Gamma Chimica Brugherio,FALSE
Italian Men A3,2023-2024,5/11/2023 ,Negrini CTE Acqui Terme,Stadium Mirandola,3,0,3-0,3,Negrini CTE Acqui Terme,Negrini CTE Acqui Terme,Stadium Mirandola,FALSE
Italian Men A3,2023-2024,4/11/2023 ,Sarlux Sarroch,Monge Gerbaudo Savigliano,2,3,2-3,5,Monge Gerbaudo Savigliano,Monge Gerbaudo Savigliano,Sarlux Sarroch,FALSE
Italian Men A3,2023-2024,5/11/2023 ,CUS Cagliari,Moyashi Garlasco,3,0,3-0,3,CUS Cagliari,CUS Cagliari,Moyashi Garlasco,FALSE
Italian Men A3,2023-2024,12/11/2023 ,Moyashi Garlasco,Personal Time San Donà di Piave,0,3,0-3,3,Personal Time San Donà di Piave,Personal Time San Donà di Piave,Moyashi Garlasco,FALSE
Italian Men A3,2023-2024,11/11/2023 ,Senini Motta di Livenza,Sarlux Sarroch,3,2,3-2,5,Senini Motta di Livenza,Senini Motta di Livenza,Sarlux Sarroch,FALSE
Italian Men A3,2023-2024,12/11/2023 ,Geetit Bologna,Monge Gerbaudo Savigliano,1,3,1-3,4,Monge Gerbaudo Savigliano,Monge Gerbaudo Savigliano,Geetit Bologna,FALSE
Italian Men A3,2023-2024,12/11/2023 ,Belluno Volley,Wimore Salsomaggiore Terme,3,1,3-1,4,Belluno Volley,Belluno Volley,Wimore Salsomaggiore Terme,FALSE
Italian Men A3,2023-2024,12/11/2023 ,Negrini CTE Acqui Terme,Gamma Chimica Brugherio,3,0,3-0,3,Negrini CTE Acqui Terme,Negrini CTE Acqui Terme,Gamma Chimica Brugherio,FALSE
Italian Men A3,2023-2024,12/11/2023 ,CUS Cagliari,Gabbiano Mantova,1,3,1-3,4,Gabbiano Mantova,Gabbiano Mantova,CUS Cagliari,FALSE
Italian Men A3,2023-2024,18/11/2023 ,Monge Gerbaudo Savigliano,CUS Cagliari,2,3,2-3,5,CUS Cagliari,CUS Cagliari,Monge Gerbaudo Savigliano,FALSE
Italian Men A3,2023-2024,19/11/2023 ,Personal Time San Donà di Piave,Negrini CTE Acqui Terme,3,1,3-1,4,Personal Time San Donà di Piave,Personal Time San Donà di Piave,Negrini CTE Acqui Terme,FALSE
Italian Men A3,2023-2024,18/11/2023 ,Gamma Chimica Brugherio,Senini Motta di Livenza,3,1,3-1,4,Gamma Chimica Brugherio,Gamma Chimica Brugherio,Senini Motta di Livenza,FALSE
Italian Men A3,2023-2024,18/11/2023 ,Sarlux Sarroch,Belluno Volley,2,3,2-3,5,Belluno Volley,Sarlux Sarroch,Belluno Volley,TRUE
Italian Men A3,2023-2024,19/11/2023 ,Stadium Mirandola,Geetit Bologna,3,1,3-1,4,Stadium Mirandola,Stadium Mirandola,Geetit Bologna,FALSE
Italian Men A3,2023-2024,18/11/2023 ,Gabbiano Mantova,Moyashi Garlasco,3,0,3-0,3,Gabbiano Mantova,Gabbiano Mantova,Moyashi Garlasco,FALSE
Italian Men A3,2023-2024,25/11/2023 ,Moyashi Garlasco,Wimore Salsomaggiore Terme,3,0,3-0,3,Moyashi Garlasco,Moyashi Garlasco,Wimore Salsomaggiore Terme,FALSE
Italian Men A3,2023-2024,25/11/2023 ,Senini Motta di Livenza,Monge Gerbaudo Savigliano,3,1,3-1,4,Senini Motta di Livenza,Senini Motta di Livenza,Monge Gerbaudo Savigliano,FALSE
Italian Men A3,2023-2024,26/11/2023 ,Belluno Volley,Gamma Chimica Brugherio,3,0,3-0,3,Belluno Volley,Belluno Volley,Gamma Chimica Brugherio,FALSE
Italian Men A3,2023-2024,26/11/2023 ,Negrini CTE Acqui Terme,Sarlux Sarroch,3,0,3-0,3,Negrini CTE Acqui Terme,Negrini CTE Acqui Terme,Sarlux Sarroch,FALSE
Italian Men A3,2023-2024,26/11/2023 ,CUS Cagliari,Personal Time San Donà di Piave,0,3,0-3,3,Personal Time San Donà di Piave,Personal Time San Donà di Piave,CUS Cagliari,FALSE
Italian Men A3,2023-2024,26/11/2023 ,Stadium Mirandola,Gabbiano Mantova,0,3,0-3,3,Gabbiano Mantova,Gabbiano Mantova,Stadium Mirandola,FALSE
Italian Men A3,2023-2024,2/12/2023 ,Monge Gerbaudo Savigliano,Belluno Volley,2,3,2-3,5,Belluno Volley,Monge Gerbaudo Savigliano,Belluno Volley,TRUE
Italian Men A3,2023-2024,3/12/2023 ,Wimore Salsomaggiore Terme,Gamma Chimica Brugherio,3,1,3-1,4,Wimore Salsomaggiore Terme,Wimore Salsomaggiore Terme,Gamma Chimica Brugherio,FALSE
Italian Men A3,2023-2024,2/12/2023 ,Geetit Bologna,CUS Cagliari,1,3,1-3,4,CUS Cagliari,Geetit Bologna,CUS Cagliari,TRUE
Italian Men A3,2023-2024,2/12/2023 ,Personal Time San Donà di Piave,Senini Motta di Livenza,3,1,3-1,4,Personal Time San Donà di Piave,Personal Time San Donà di Piave,Senini Motta di Livenza,FALSE
Italian Men A3,2023-2024,2/12/2023 ,Sarlux Sarroch,Stadium Mirandola,3,0,3-0,3,Sarlux Sarroch,Sarlux Sarroch,Stadium Mirandola,FALSE
Italian Men A3,2023-2024,2/12/2023 ,Gabbiano Mantova,Negrini CTE Acqui Terme,3,1,3-1,4,Gabbiano Mantova,Gabbiano Mantova,Negrini CTE Acqui Terme,FALSE
Italian Men A3,2023-2024,7/12/2023 ,Monge Gerbaudo Savigliano,Moyashi Garlasco,3,0,3-0,3,Monge Gerbaudo Savigliano,Monge Gerbaudo Savigliano,Moyashi Garlasco,FALSE
Italian Men A3,2023-2024,7/12/2023 ,Senini Motta di Livenza,Gabbiano Mantova,2,3,2-3,5,Gabbiano Mantova,Gabbiano Mantova,Senini Motta di Livenza,FALSE
Italian Men A3,2023-2024,7/12/2023 ,Belluno Volley,Geetit Bologna,3,0,3-0,3,Belluno Volley,Belluno Volley,Geetit Bologna,FALSE
Italian Men A3,2023-2024,7/12/2023 ,Gamma Chimica Brugherio,CUS Cagliari,3,2,3-2,5,Gamma Chimica Brugherio,CUS Cagliari,Gamma Chimica Brugherio,TRUE
Italian Men A3,2023-2024,7/12/2023 ,Negrini CTE Acqui Terme,Wimore Salsomaggiore Terme,3,1,3-1,4,Negrini CTE Acqui Terme,Negrini CTE Acqui Terme,Wimore Salsomaggiore Terme,FALSE
Italian Men A3,2023-2024,7/12/2023 ,Stadium Mirandola,Personal Time San Donà di Piave,0,3,0-3,3,Personal Time San Donà di Piave,Personal Time San Donà di Piave,Stadium Mirandola,FALSE
Italian Men A3,2023-2024,10/12/2023 ,Moyashi Garlasco,Stadium Mirandola,3,1,3-1,4,Moyashi Garlasco,Stadium Mirandola,Moyashi Garlasco,TRUE
Italian Men A3,2023-2024,10/12/2023 ,Wimore Salsomaggiore Terme,Sarlux Sarroch,2,3,2-3,5,Sarlux Sarroch,Wimore Salsomaggiore Terme,Sarlux Sarroch,TRUE
Italian Men A3,2023-2024,10/12/2023 ,Geetit Bologna,Negrini CTE Acqui Terme,2,3,2-3,5,Negrini CTE Acqui Terme,Geetit Bologna,Negrini CTE Acqui Terme,TRUE
Italian Men A3,2023-2024,10/12/2023 ,Personal Time San Donà di Piave,Monge Gerbaudo Savigliano,1,3,1-3,4,Monge Gerbaudo Savigliano,Monge Gerbaudo Savigliano,Personal Time San Donà di Piave,FALSE
Italian Men A3,2023-2024,10/12/2023 ,CUS Cagliari,Senini Motta di Livenza,3,0,3-0,3,CUS Cagliari,CUS Cagliari,Senini Motta di Livenza,FALSE
Italian Men A3,2023-2024,10/12/2023 ,Gabbiano Mantova,Belluno Volley,3,0,3-0,3,Gabbiano Mantova,Gabbiano Mantova,Belluno Volley,FALSE
Italian Men A3,2023-2024,16/12/2023 ,Monge Gerbaudo Savigliano,Wimore Salsomaggiore Terme,3,0,3-0,3,Monge Gerbaudo Savigliano,Monge Gerbaudo Savigliano,Wimore Salsomaggiore Terme,FALSE
Italian Men A3,2023-2024,17/12/2023 ,Moyashi Garlasco,Geetit Bologna,1,3,1-3,4,Geetit Bologna,Geetit Bologna,Moyashi Garlasco,FALSE
Italian Men A3,2023-2024,17/12/2023 ,Belluno Volley,Negrini CTE Acqui Terme,1,3,1-3,4,Negrini CTE Acqui Terme,Negrini CTE Acqui Terme,Belluno Volley,FALSE
Italian Men A3,2023-2024,16/12/2023 ,Sarlux Sarroch,Gamma Chimica Brugherio,0,3,0-3,3,Gamma Chimica Brugherio,Gamma Chimica Brugherio,Sarlux Sarroch,FALSE
Italian Men A3,2023-2024,16/12/2023 ,Stadium Mirandola,CUS Cagliari,0,3,0-3,3,CUS Cagliari,CUS Cagliari,Stadium Mirandola,FALSE
Italian Men A3,2023-2024,16/12/2023 ,Gabbiano Mantova,Personal Time San Donà di Piave,3,0,3-0,3,Gabbiano Mantova,Gabbiano Mantova,Personal Time San Donà di Piave,FALSE
Italian Men A3,2023-2024,26/12/2023 ,Wimore Salsomaggiore Terme,Stadium Mirandola,2,3,2-3,5,Stadium Mirandola,Stadium Mirandola,Wimore Salsomaggiore Terme,FALSE
Italian Men A3,2023-2024,26/12/2023 ,Senini Motta di Livenza,Belluno Volley,3,0,3-0,3,Senini Motta di Livenza,Senini Motta di Livenza,Belluno Volley,FALSE
Italian Men A3,2023-2024,26/12/2023 ,Geetit Bologna,Gabbiano Mantova,0,3,0-3,3,Gabbiano Mantova,Gabbiano Mantova,Geetit Bologna,FALSE
Italian Men A3,2023-2024,26/12/2023 ,Gamma Chimica Brugherio,Moyashi Garlasco,3,0,3-0,3,Gamma Chimica Brugherio,Gamma Chimica Brugherio,Moyashi Garlasco,FALSE
Italian Men A3,2023-2024,26/12/2023 ,Negrini CTE Acqui Terme,Monge Gerbaudo Savigliano,1,3,1-3,4,Monge Gerbaudo Savigliano,Monge Gerbaudo Savigliano,Negrini CTE Acqui Terme,FALSE
Italian Men A3,2023-2024,26/12/2023 ,CUS Cagliari,Sarlux Sarroch,3,1,3-1,4,CUS Cagliari,Sarlux Sarroch,CUS Cagliari,TRUE
Italian Men A3,2023-2024,30/12/2023 ,Stadium Mirandola,Monge Gerbaudo Savigliano,0,3,0-3,3,Monge Gerbaudo Savigliano,Monge Gerbaudo Savigliano,Stadium Mirandola,FALSE
Italian Men A3,2023-2024,30/12/2023 ,Personal Time San Donà di Piave,Wimore Salsomaggiore Terme,3,1,3-1,4,Personal Time San Donà di Piave,Personal Time San Donà di Piave,Wimore Salsomaggiore Terme,FALSE
Italian Men A3,2023-2024,30/12/2023 ,Negrini CTE Acqui Terme,Senini Motta di Livenza,3,1,3-1,4,Negrini CTE Acqui Terme,Negrini CTE Acqui Terme,Senini Motta di Livenza,FALSE
Italian Men A3,2023-2024,30/12/2023 ,CUS Cagliari,Belluno Volley,1,3,1-3,4,Belluno Volley,Belluno Volley,CUS Cagliari,FALSE
Italian Men A3,2023-2024,30/12/2023 ,Geetit Bologna,Gamma Chimica Brugherio,2,3,2-3,5,Gamma Chimica Brugherio,Gamma Chimica Brugherio,Geetit Bologna,FALSE
Italian Men A3,2023-2024,30/12/2023 ,Moyashi Garlasco,Sarlux Sarroch,2,3,2-3,5,Sarlux Sarroch,Sarlux Sarroch,Moyashi Garlasco,FALSE
Italian Men A3,2023-2024,7/1/2024 ,Belluno Volley,Moyashi Garlasco,3,0,3-0,3,Belluno Volley,Belluno Volley,Moyashi Garlasco,FALSE
Italian Men A3,2023-2024,6/1/2024 ,Senini Motta di Livenza,Geetit Bologna,3,0,3-0,3,Senini Motta di Livenza,Senini Motta di Livenza,Geetit Bologna,FALSE
Italian Men A3,2023-2024,6/1/2024 ,Sarlux Sarroch,Personal Time San Donà di Piave,2,3,2-3,5,Personal Time San Donà di Piave,Sarlux Sarroch,Personal Time San Donà di Piave,TRUE
Italian Men A3,2023-2024,7/1/2024 ,Wimore Salsomaggiore Terme,CUS Cagliari,0,3,0-3,3,CUS Cagliari,CUS Cagliari,Wimore Salsomaggiore Terme,FALSE
Italian Men A3,2023-2024,31/1/2024 ,Gamma Chimica Brugherio,Stadium Mirandola,3,2,3-2,5,Gamma Chimica Brugherio,Stadium Mirandola,Gamma Chimica Brugherio,TRUE
Italian Men A3,2023-2024,6/1/2024 ,Monge Gerbaudo Savigliano,Gabbiano Mantova,3,1,3-1,4,Monge Gerbaudo Savigliano,Gabbiano Mantova,Monge Gerbaudo Savigliano,TRUE
Italian Men A3,2023-2024,14/1/2024 ,Geetit Bologna,Wimore Salsomaggiore Terme,3,2,3-2,5,Geetit Bologna,Wimore Salsomaggiore Terme,Geetit Bologna,TRUE
Italian Men A3,2023-2024,14/1/2024 ,Moyashi Garlasco,Senini Motta di Livenza,1,3,1-3,4,Senini Motta di Livenza,Moyashi Garlasco,Senini Motta di Livenza,TRUE
Italian Men A3,2023-2024,14/1/2024 ,Stadium Mirandola,Belluno Volley,3,0,3-0,3,Stadium Mirandola,Stadium Mirandola,Belluno Volley,FALSE
Italian Men A3,2023-2024,18/1/2024 ,Personal Time San Donà di Piave,Gamma Chimica Brugherio,3,0,3-0,3,Personal Time San Donà di Piave,Personal Time San Donà di Piave,Gamma Chimica Brugherio,FALSE
Italian Men A3,2023-2024,14/1/2024 ,CUS Cagliari,Negrini CTE Acqui Terme,3,0,3-0,3,CUS Cagliari,CUS Cagliari,Negrini CTE Acqui Terme,FALSE
Italian Men A3,2023-2024,13/1/2024 ,Gabbiano Mantova,Sarlux Sarroch,3,1,3-1,4,Gabbiano Mantova,Gabbiano Mantova,Sarlux Sarroch,FALSE
Italian Men A3,2023-2024,21/1/2024 ,Gamma Chimica Brugherio,Monge Gerbaudo Savigliano,3,2,3-2,5,Gamma Chimica Brugherio,Gamma Chimica Brugherio,Monge Gerbaudo Savigliano,FALSE
Italian Men A3,2023-2024,21/1/2024 ,Negrini CTE Acqui Terme,Moyashi Garlasco,2,3,2-3,5,Moyashi Garlasco,Negrini CTE Acqui Terme,Moyashi Garlasco,TRUE
Italian Men A3,2023-2024,20/1/2024 ,Sarlux Sarroch,Geetit Bologna,3,1,3-1,4,Sarlux Sarroch,Sarlux Sarroch,Geetit Bologna,FALSE
Italian Men A3,2023-2024,21/1/2024 ,Belluno Volley,Personal Time San Donà di Piave,3,0,3-0,3,Belluno Volley,Belluno Volley,Personal Time San Donà di Piave,FALSE
Italian Men A3,2023-2024,20/1/2024 ,Senini Motta di Livenza,Stadium Mirandola,3,0,3-0,3,Senini Motta di Livenza,Senini Motta di Livenza,Stadium Mirandola,FALSE
Italian Men A3,2023-2024,21/1/2024 ,Wimore Salsomaggiore Terme,Gabbiano Mantova,1,3,1-3,4,Gabbiano Mantova,Wimore Salsomaggiore Terme,Gabbiano Mantova,TRUE
Italian Men A3,2023-2024,27/1/2024 ,Senini Motta di Livenza,Wimore Salsomaggiore Terme,3,1,3-1,4,Senini Motta di Livenza,Senini Motta di Livenza,Wimore Salsomaggiore Terme,FALSE
Italian Men A3,2023-2024,28/1/2024 ,Geetit Bologna,Personal Time San Donà di Piave,2,3,2-3,5,Personal Time San Donà di Piave,Geetit Bologna,Personal Time San Donà di Piave,TRUE
Italian Men A3,2023-2024,27/1/2024 ,Gabbiano Mantova,Gamma Chimica Brugherio,3,2,3-2,5,Gabbiano Mantova,Gamma Chimica Brugherio,Gabbiano Mantova,TRUE
Italian Men A3,2023-2024,28/1/2024 ,Stadium Mirandola,Negrini CTE Acqui Terme,1,3,1-3,4,Negrini CTE Acqui Terme,Stadium Mirandola,Negrini CTE Acqui Terme,TRUE
Italian Men A3,2023-2024,27/1/2024 ,Monge Gerbaudo Savigliano,Sarlux Sarroch,1,3,1-3,4,Sarlux Sarroch,Monge Gerbaudo Savigliano,Sarlux Sarroch,TRUE
Italian Men A3,2023-2024,28/1/2024 ,Moyashi Garlasco,CUS Cagliari,3,1,3-1,4,Moyashi Garlasco,Moyashi Garlasco,CUS Cagliari,FALSE
Italian Men A3,2023-2024,4/2/2024 ,Personal Time San Donà di Piave,Moyashi Garlasco,2,3,2-3,5,Moyashi Garlasco,Personal Time San Donà di Piave,Moyashi Garlasco,TRUE
Italian Men A3,2023-2024,3/2/2024 ,Sarlux Sarroch,Senini Motta di Livenza,3,1,3-1,4,Sarlux Sarroch,Sarlux Sarroch,Senini Motta di Livenza,FALSE
Italian Men A3,2023-2024,3/2/2024 ,Monge Gerbaudo Savigliano,Geetit Bologna,2,3,2-3,5,Geetit Bologna,Geetit Bologna,Monge Gerbaudo Savigliano,FALSE
Italian Men A3,2023-2024,4/2/2024 ,Wimore Salsomaggiore Terme,Belluno Volley,1,3,1-3,4,Belluno Volley,Belluno Volley,Wimore Salsomaggiore Terme,FALSE
Italian Men A3,2023-2024,4/2/2024 ,Gamma Chimica Brugherio,Negrini CTE Acqui Terme,2,3,2-3,5,Negrini CTE Acqui Terme,Gamma Chimica Brugherio,Negrini CTE Acqui Terme,TRUE
Italian Men A3,2023-2024,3/2/2024 ,Gabbiano Mantova,CUS Cagliari,3,1,3-1,4,Gabbiano Mantova,CUS Cagliari,Gabbiano Mantova,TRUE
Italian Men A3,2023-2024,10/2/2024 ,CUS Cagliari,Monge Gerbaudo Savigliano,3,1,3-1,4,CUS Cagliari,CUS Cagliari,Monge Gerbaudo Savigliano,FALSE
Italian Men A3,2023-2024,11/2/2024 ,Negrini CTE Acqui Terme,Personal Time San Donà di Piave,1,3,1-3,4,Personal Time San Donà di Piave,Personal Time San Donà di Piave,Negrini CTE Acqui Terme,FALSE
Italian Men A3,2023-2024,10/2/2024 ,Senini Motta di Livenza,Gamma Chimica Brugherio,3,0,3-0,3,Senini Motta di Livenza,Senini Motta di Livenza,Gamma Chimica Brugherio,FALSE
Italian Men A3,2023-2024,10/2/2024 ,Belluno Volley,Sarlux Sarroch,3,0,3-0,3,Belluno Volley,Belluno Volley,Sarlux Sarroch,FALSE
Italian Men A3,2023-2024,10/2/2024 ,Geetit Bologna,Stadium Mirandola,3,0,3-0,3,Geetit Bologna,Geetit Bologna,Stadium Mirandola,FALSE
Italian Men A3,2023-2024,11/2/2024 ,Moyashi Garlasco,Gabbiano Mantova,3,2,3-2,5,Moyashi Garlasco,Moyashi Garlasco,Gabbiano Mantova,FALSE
Italian Men A3,2023-2024,18/2/2024 ,Wimore Salsomaggiore Terme,Moyashi Garlasco,2,3,2-3,5,Moyashi Garlasco,Wimore Salsomaggiore Terme,Moyashi Garlasco,TRUE
Italian Men A3,2023-2024,17/2/2024 ,Monge Gerbaudo Savigliano,Senini Motta di Livenza,0,3,0-3,3,Senini Motta di Livenza,Senini Motta di Livenza,Monge Gerbaudo Savigliano,FALSE
Italian Men A3,2023-2024,18/2/2024 ,Gamma Chimica Brugherio,Belluno Volley,2,3,2-3,5,Belluno Volley,Belluno Volley,Gamma Chimica Brugherio,FALSE
Italian Men A3,2023-2024,17/2/2024 ,Sarlux Sarroch,Negrini CTE Acqui Terme,3,1,3-1,4,Sarlux Sarroch,Sarlux Sarroch,Negrini CTE Acqui Terme,FALSE
Italian Men A3,2023-2024,19/2/2024 ,Personal Time San Donà di Piave,CUS Cagliari,3,0,3-0,3,Personal Time San Donà di Piave,Personal Time San Donà di Piave,CUS Cagliari,FALSE
Italian Men A3,2023-2024,17/2/2024 ,Gabbiano Mantova,Stadium Mirandola,3,1,3-1,4,Gabbiano Mantova,Stadium Mirandola,Gabbiano Mantova,TRUE
Italian Men A3,2023-2024,25/2/2024 ,Belluno Volley,Monge Gerbaudo Savigliano,3,1,3-1,4,Belluno Volley,Monge Gerbaudo Savigliano,Belluno Volley,TRUE
Italian Men A3,2023-2024,25/2/2024 ,Gamma Chimica Brugherio,Wimore Salsomaggiore Terme,3,0,3-0,3,Gamma Chimica Brugherio,Gamma Chimica Brugherio,Wimore Salsomaggiore Terme,FALSE
Italian Men A3,2023-2024,25/2/2024 ,CUS Cagliari,Geetit Bologna,1,3,1-3,4,Geetit Bologna,CUS Cagliari,Geetit Bologna,TRUE
Italian Men A3,2023-2024,24/2/2024 ,Senini Motta di Livenza,Personal Time San Donà di Piave,3,1,3-1,4,Senini Motta di Livenza,Senini Motta di Livenza,Personal Time San Donà di Piave,FALSE
Italian Men A3,2023-2024,25/2/2024 ,Stadium Mirandola,Sarlux Sarroch,3,1,3-1,4,Stadium Mirandola,Stadium Mirandola,Sarlux Sarroch,FALSE
Italian Men A3,2023-2024,24/2/2024 ,Negrini CTE Acqui Terme,Gabbiano Mantova,2,3,2-3,5,Gabbiano Mantova,Gabbiano Mantova,Negrini CTE Acqui Terme,FALSE
Italian Men A3,2023-2024,28/2/2024 ,Moyashi Garlasco,Monge Gerbaudo Savigliano,0,3,0-3,3,Monge Gerbaudo Savigliano,Monge Gerbaudo Savigliano,Moyashi Garlasco,FALSE
Italian Men A3,2023-2024,28/2/2024 ,Gabbiano Mantova,Senini Motta di Livenza,0,3,0-3,3,Senini Motta di Livenza,Senini Motta di Livenza,Gabbiano Mantova,FALSE
Italian Men A3,2023-2024,28/2/2024 ,Geetit Bologna,Belluno Volley,2,3,2-3,5,Belluno Volley,Geetit Bologna,Belluno Volley,TRUE
Italian Men A3,2023-2024,28/2/2024 ,CUS Cagliari,Gamma Chimica Brugherio,1,3,1-3,4,Gamma Chimica Brugherio,CUS Cagliari,Gamma Chimica Brugherio,TRUE
Italian Men A3,2023-2024,28/2/2024 ,Wimore Salsomaggiore Terme,Negrini CTE Acqui Terme,3,1,3-1,4,Wimore Salsomaggiore Terme,Wimore Salsomaggiore Terme,Negrini CTE Acqui Terme,FALSE
Italian Men A3,2023-2024,28/2/2024 ,Personal Time San Donà di Piave,Stadium Mirandola,3,0,3-0,3,Personal Time San Donà di Piave,Personal Time San Donà di Piave,Stadium Mirandola,FALSE
Italian Men A3,2023-2024,10/3/2024 ,Stadium Mirandola,Moyashi Garlasco,3,1,3-1,4,Stadium Mirandola,Stadium Mirandola,Moyashi Garlasco,FALSE
Italian Men A3,2023-2024,9/3/2024 ,Sarlux Sarroch,Wimore Salsomaggiore Terme,1,3,1-3,4,Wimore Salsomaggiore Terme,Sarlux Sarroch,Wimore Salsomaggiore Terme,TRUE
Italian Men A3,2023-2024,10/3/2024 ,Negrini CTE Acqui Terme,Geetit Bologna,3,1,3-1,4,Negrini CTE Acqui Terme,Negrini CTE Acqui Terme,Geetit Bologna,FALSE
Italian Men A3,2023-2024,9/3/2024 ,Monge Gerbaudo Savigliano,Personal Time San Donà di Piave,3,0,3-0,3,Monge Gerbaudo Savigliano,Monge Gerbaudo Savigliano,Personal Time San Donà di Piave,FALSE
Italian Men A3,2023-2024,9/3/2024 ,Senini Motta di Livenza,CUS Cagliari,3,0,3-0,3,Senini Motta di Livenza,Senini Motta di Livenza,CUS Cagliari,FALSE
Italian Men A3,2023-2024,10/3/2024 ,Belluno Volley,Gabbiano Mantova,0,3,0-3,3,Gabbiano Mantova,Gabbiano Mantova,Belluno Volley,FALSE
Italian Men A3,2023-2024,16/3/2024 ,Wimore Salsomaggiore Terme,Monge Gerbaudo Savigliano,2,3,2-3,5,Monge Gerbaudo Savigliano,Monge Gerbaudo Savigliano,Wimore Salsomaggiore Terme,FALSE
Italian Men A3,2023-2024,17/3/2024 ,Geetit Bologna,Moyashi Garlasco,3,1,3-1,4,Geetit Bologna,Geetit Bologna,Moyashi Garlasco,FALSE
Italian Men A3,2023-2024,17/3/2024 ,Negrini CTE Acqui Terme,Belluno Volley,0,3,0-3,3,Belluno Volley,Belluno Volley,Negrini CTE Acqui Terme,FALSE
Italian Men A3,2023-2024,17/3/2024 ,Gamma Chimica Brugherio,Sarlux Sarroch,3,0,3-0,3,Gamma Chimica Brugherio,Gamma Chimica Brugherio,Sarlux Sarroch,FALSE
Italian Men A3,2023-2024,17/3/2024 ,CUS Cagliari,Stadium Mirandola,3,0,3-0,3,CUS Cagliari,CUS Cagliari,Stadium Mirandola,FALSE
Italian Men A3,2023-2024,17/3/2024 ,Personal Time San Donà di Piave,Gabbiano Mantova,0,3,0-3,3,Gabbiano Mantova,Gabbiano Mantova,Personal Time San Donà di Piave,FALSE
Italian Men A3,2023-2024,24/3/2024 ,Stadium Mirandola,Wimore Salsomaggiore Terme,3,0,3-0,3,Stadium Mirandola,Stadium Mirandola,Wimore Salsomaggiore Terme,FALSE
Italian Men A3,2023-2024,24/3/2024 ,Belluno Volley,Senini Motta di Livenza,3,0,3-0,3,Belluno Volley,Belluno Volley,Senini Motta di Livenza,FALSE
Italian Men A3,2023-2024,24/3/2024 ,Gabbiano Mantova,Geetit Bologna,3,1,3-1,4,Gabbiano Mantova,Gabbiano Mantova,Geetit Bologna,FALSE
Italian Men A3,2023-2024,24/3/2024 ,Moyashi Garlasco,Gamma Chimica Brugherio,2,3,2-3,5,Gamma Chimica Brugherio,Gamma Chimica Brugherio,Moyashi Garlasco,FALSE
Italian Men A3,2023-2024,24/3/2024 ,Monge Gerbaudo Savigliano,Negrini CTE Acqui Terme,3,0,3-0,3,Monge Gerbaudo Savigliano,Monge Gerbaudo Savigliano,Negrini CTE Acqui Terme,FALSE
Italian Men A3,2023-2024,24/3/2024 ,Sarlux Sarroch,CUS Cagliari,3,1,3-1,4,Sarlux Sarroch,CUS Cagliari,Sarlux Sarroch,TRUE
Italian Men A3,2023-2024,15/10/2023 ,Banca Macerata,Just British Bari,3,1,3-1,4,Banca Macerata,Banca Macerata,Just British Bari,FALSE
Italian Men A3,2023-2024,15/10/2023 ,Aurispa DelCar Lecce,Smartsystem Fano,0,3,0-3,3,Smartsystem Fano,Smartsystem Fano,Aurispa DelCar Lecce,FALSE
Italian Men A3,2023-2024,15/10/2023 ,Erm Group San Giustino,Leo Shoes Casarano,3,0,3-0,3,Erm Group San Giustino,Erm Group San Giustino,Leo Shoes Casarano,FALSE
Italian Men A3,2023-2024,15/10/2023 ,Avimecc Modica,Rinascita Lagonegro,1,3,1-3,4,Rinascita Lagonegro,Rinascita Lagonegro,Avimecc Modica,FALSE
Italian Men A3,2023-2024,15/10/2023 ,QuantWare Napoli,Tim Montaggi Marcianise,3,0,3-0,3,QuantWare Napoli,QuantWare Napoli,Tim Montaggi Marcianise,FALSE
Italian Men A3,2023-2024,15/10/2023 ,Plus Volleyball Sabaudia,Shedirpharma Sorrento,2,3,2-3,5,Shedirpharma Sorrento,Plus Volleyball Sabaudia,Shedirpharma Sorrento,TRUE
Italian Men A3,2023-2024,22/10/2023 ,Smartsystem Fano,QuantWare Napoli,3,2,3-2,5,Smartsystem Fano,Smartsystem Fano,QuantWare Napoli,FALSE
Italian Men A3,2023-2024,21/10/2023 ,OmiFer Palmi,Aurispa DelCar Lecce,1,3,1-3,4,Aurispa DelCar Lecce,Aurispa DelCar Lecce,OmiFer Palmi,FALSE
Italian Men A3,2023-2024,22/10/2023 ,Rinascita Lagonegro,Erm Group San Giustino,3,0,3-0,3,Rinascita Lagonegro,Rinascita Lagonegro,Erm Group San Giustino,FALSE
Italian Men A3,2023-2024,22/10/2023 ,Leo Shoes Casarano,Banca Macerata,0,3,0-3,3,Banca Macerata,Banca Macerata,Leo Shoes Casarano,FALSE
Italian Men A3,2023-2024,21/10/2023 ,Just British Bari,Plus Volleyball Sabaudia,2,3,2-3,5,Plus Volleyball Sabaudia,Plus Volleyball Sabaudia,Just British Bari,FALSE
Italian Men A3,2023-2024,22/10/2023 ,Shedirpharma Sorrento,Avimecc Modica,3,2,3-2,5,Shedirpharma Sorrento,Avimecc Modica,Shedirpharma Sorrento,TRUE
Italian Men A3,2023-2024,29/10/2023 ,Banca Macerata,QuantWare Napoli,3,2,3-2,5,Banca Macerata,QuantWare Napoli,Banca Macerata,TRUE
